Rk,Name,Team,Pos.,Yr,GP,G,A,PTS,Pt/Gm,PIM,Shots,GWG,PPG,SHG,+/-,Blk,FW,FL,FO%
,David Jacobs,Princeton,F,Sr,28,8,19,27,0.96,16,56,2,2,1,19,14,12,22,35.3
,Trevor Hoskin,Merrimack,F,So,26,8,19,27,1.04,10,48,2,3,0,1,11,2,6,25
85,Zaccharya Wisdom,Western Michigan,F,Jr,32,15,11,26,0.81,19,73,3,3,2,18,16,2,5,28.6
,Kasper Magnussen,Bemidji State,F,Jr,32,10,16,26,0.81,6,78,1,6,0,1,10,5,5,50
,Tristan Lemyre,Minnesota State,F,Gr,32,12,14,26,0.81,23,88,2,4,0,-3,12,7,8,46.7
,Marcus Joughin,Sacred Heart,F,Sr,32,4,22,26,0.81,36,44,1,0,0,6,22,319,369,46.4
,Nick Moldenhauer,Michigan,F,Jr,32,13,13,26,0.81,14,70,3,0,2,23,15,6,11,35.3
,Will Zellers,North Dakota,F,Fr,31,16,10,26,0.84,12,100,5,7,0,2,5,5,6,45.5
,Roger McQueen,Providence,F,Fr,31,11,15,26,0.84,43,98,3,3,0,6,11,293,230,56
,William Gilson,Quinnipiac,D,Gr,31,5,21,26,0.84,10,58,1,2,0,11,30,0,0,
,Jacob Mathieu,Northeastern,F,Fr,29,9,17,26,0.9,6,62,1,4,0,1,46,273,251,52.1
,LJ Mooney,Minnesota,F,Fr,29,6,20,26,0.9,33,67,0,3,0,-9,15,65,88,42.5
,Walter Zacher,Canisius,F,Jr,29,18,8,26,0.9,20,105,3,4,0,-6,7,4,14,22.2
,Cullen Potter,Arizona State,F,So,24,12,14,26,1.08,16,78,3,4,0,-1,9,164,183,47.3
,Charles Savoie,Lindenwood,F,So,21,9,17,26,1.24,54,42,1,2,0,10,2,1,1,50
98,Sam Harris,Denver,F,Jr,33,11,14,25,0.76,41,106,1,3,0,11,16,7,6,53.8
,Rieger Lorenz,Denver,F,Sr,33,13,12,25,0.76,32,78,3,2,1,16,15,7,10,41.2
,Isaac Gordon,Michigan Tech,F,Jr,33,6,19,25,0.76,10,63,1,1,0,6,14,3,4,42.9
,Callum Arnott,Minnesota-Duluth,F,So,32,11,14,25,0.78,6,81,1,6,0,-2,8,60,67,47.2
,Isaiah Norlin,Colgate,D,So,32,7,18,25,0.78,16,95,1,5,0,-9,33,0,0,
,Abram Wiebe,North Dakota,D,Jr,32,5,20,25,0.78,6,59,1,0,0,9,29,0,0,
,Owen Van Steensel,Clarkson,F,Fr,32,12,13,25,0.78,14,69,2,3,1,-1,16,2,8,20
,Simon Labelle,Colgate,F,Sr,32,11,14,25,0.78,23,55,3,4,0,-1,13,3,1,75
,William Ahlrik,Lake Superior,F,So,32,10,15,25,0.78,24,56,0,5,0,2,18,334,270,55.3
,Breck McKinley,Bowling Green,D,Jr,32,2,23,25,0.78,14,50,1,0,0,15,22,0,0,
,Jack Stockfish,Holy Cross,F,Jr,32,9,16,25,0.78,28,82,1,1,0,-2,15,371,262,58.6
,Logan Sawyer,Providence,F,So,31,12,13,25,0.81,16,82,4,4,0,5,5,0,4,0
,Ryan Sullivan,Colgate,F,Jr,31,7,18,25,0.81,51,59,0,1,0,2,16,314,292,51.8
,Cole Knuble,Notre Dame,F,Jr,31,7,18,25,0.81,28,95,0,3,1,-20,12,66,89,42.6
,Felix Caron,Ohio State,F,So,30,11,14,25,0.83,28,77,1,7,0,0,12,4,0,100
