Rk,Name,Team,Pos.,Yr,GP,G,A,PTS,Pt/Gm,PIM,Shots,GWG,PPG,SHG,+/-,Blk,FW,FL,FO%,,,,,,
,Jaxon Nelson,Minnesota,F,Gr,39,19,12,31,0.7949,6,106,1,3,0,14,39,395,364,52,,,,,,
,Matteo Costantini,Western Michigan,F,Sr,38,11,20,31,0.8158,18,67,1,1,0,20,3,233,255,47.7,,,,,,
,Carter Randklev,Niagara,F,Sr,37,11,20,31,0.8378,39,75,2,1,0,5,21,0,0,,,,,,,
,Aiden Hansen-Bukata,RIT,D,Sr,37,5,26,31,0.8378,28,60,2,0,0,23,61,0,0,,,,,,,
,Landon Slaggert,Notre Dame,F,Sr,36,20,11,31,0.8611,10,92,2,6,0,8,28,0,0,,,,,,,
,Ryan Conmy,New Hampshire,F,Fr,34,14,17,31,0.9118,14,120,3,5,1,9,14,1,0,100,,,,,,
,Dalton Bancroft,Cornell,F,So,34,12,19,31,0.9118,25,77,2,7,0,14,20,0,1,0,,,,,,
,Chris Pappas,Long Island,F,Jr,34,11,20,31,0.9118,10,69,0,5,0,-1,9,0,5,0,,,,,,
,Joey Baez,Army,F,Jr,32,15,16,31,0.9688,14,92,4,6,0,-10,7,0,1,0,,,,,,
99,Rieger Lorenz,Denver,F,So,44,16,14,30,0.6818,10,79,0,0,2,21,16,2,0,100,,,,,,
,Aidan Thompson,Denver,F,So,44,11,19,30,0.6818,35,93,1,4,0,16,10,344,331,51,,,,,,
,Luke Tuch,Boston University,F,Sr,39,10,20,30,0.7692,10,95,2,3,1,17,19,29,29,50,,,,,,
,Tyler Wallace,Niagara,F,Fr,39,13,17,30,0.7692,17,64,3,3,1,2,22,357,340,51.2,,,,,,
,Lleyton Roed,Bemidji State,F,So,38,14,16,30,0.7895,16,101,3,5,1,4,25,201,229,46.7,,,,,,
,Lynden Breen,Maine,F,Sr,37,9,21,30,0.8108,20,109,1,3,0,17,20,347,331,51.2,,,,,,
,Caden Villegas,Union,F,Jr,37,12,18,30,0.8108,4,76,1,2,0,-12,10,0,1,0,,,,,,
,Scott Morrow,Massachusetts,D,Jr,37,6,24,30,0.8108,25,113,0,3,0,3,37,0,0,,,,,,,
,Owen Gallatin,Minnesota-Duluth,D,Jr,37,7,23,30,0.8108,24,98,0,1,0,-17,49,0,0,,,,,,,
,Lucas Wahlin,St. Thomas,F,So,37,12,18,30,0.8108,48,134,1,2,1,4,27,86,96,47.3,,,,,,
,Cam Lund,Northeastern,F,So,35,11,19,30,0.8571,22,91,1,2,0,-7,19,0,1,0,,,,,,
,Ben Almquist,Alaska-Anchorage,F,Sr,34,14,16,30,0.8824,14,84,1,3,0,10,14,351,397,46.9,,,,,,
,Ross Mitton,Colgate,F,Sr,34,11,19,30,0.8824,14,98,2,3,0,-4,18,7,12,36.8,,,,,,
,Noah Kane,Long Island,F,Sr,33,8,22,30,0.9091,48,98,0,0,1,-2,15,27,44,38,,,,,,
113,Jake Livanavage,North Dakota,D,Fr,40,5,24,29,0.725,6,56,1,2,0,5,51,0,0,,,,,,,
,Andre Gasseau,Boston College,F,So,40,12,17,29,0.725,27,83,1,2,1,17,21,85,49,63.4,,,,,,
,Logan Pietila,Michigan Tech,F,Sr,40,13,16,29,0.725,4,108,5,2,1,-2,32,362,382,48.7,,,,,,
,Nicolas Muller,Michigan State,F,Gr,38,7,22,29,0.7632,22,58,1,1,0,10,20,281,329,46.1,,,,,,
,Jack Musa,Massachusetts,F,Fr,37,12,17,29,0.7838,6,76,0,6,0,9,22,16,10,61.5,,,,,,
,Daniel Panetta,Colgate,F,So,36,13,16,29,0.8056,6,95,1,3,0,2,14,298,357,45.5,,,,,,
,Ethan Leyh,Bentley,F,Gr,35,13,16,29,0.8286,34,94,3,5,1,11,36,384,295,56.6,,,,,,
,Luke Rowe,Air Force,D,Sr,35,6,23,29,0.8286,70,98,1,4,0,-10,46,0,0,,,,,,,
,Cade Mason,Long Island,D,So,34,2,27,29,0.8529,8,74,1,1,0,-4,32,0,0,,,,,,,
,Danny Dzhaniyev,Penn State,F,Jr,33,9,20,29,0.8788,6,98,3,0,0,12,9,41,40,50.6,,,,,,
,Adam Robbins,Princeton,F,Sr,30,11,18,29,0.9667,8,80,3,3,0,-3,33,382,335,53.3,,,,,,
124,Simon Tassy,Wisconsin,F,Jr,40,12,16,28,0.7,47,99,4,7,0,12,17,0,0,,,,,,,
,Tanner Ludtke,Omaha,F,Fr,40,11,17,28,0.7,28,85,1,3,0,11,13,77,79,49.4,,,,,,
,Ben Dexheimer,Wisconsin,D,So,40,5,23,28,0.7,16,75,1,1,0,2,49,0,0,,,,,,,
,Tyler Fukakusa,RIT,F,Fr,39,9,19,28,0.7179,18,58,3,0,0,19,16,262,264,49.8,,,,,,
,Sam Rinzel,Minnesota,D,Fr,39,2,26,28,0.7179,20,75,0,0,0,23,48,0,0,,,,,,,
,Clayton Cosentino,Air Force,F,Jr,38,10,18,28,0.7368,6,62,2,4,1,-9,31,594,409,59.2,,,,,,
,Adam Ingram,St. Cloud State,F,So,38,10,18,28,0.7368,18,77,2,4,0,9,16,8,24,25,,,,,,
,Gleb Veremyev,Colorado College,F,So,37,15,13,28,0.7568,55,101,3,1,0,13,16,1,2,33.3,,,,,,
,Cy LeClerc,New Hampshire,F,So,36,10,18,28,0.7778,17,94,3,3,1,7,8,390,329,54.2,,,,,,
,Matthew Wood,Connecticut,F,So,35,16,12,28,0.8,43,128,3,3,0,-1,9,37,62,37.4,,,,,,
,Kyle Penney,Cornell,F,Jr,35,10,18,28,0.8,18,66,2,0,0,30,28,21,16,56.8,,,,,,
,Garrett Dahm,Mercyhurst,F,Jr,35,7,21,28,0.8,23,65,1,3,1,2,15,283,329,46.2,,,,,,
,Vinny Borgesi,Northeastern,D,So,34,5,23,28,0.8235,10,76,0,1,0,7,38,0,0,,,,,,,
,Zach Bookman,Merrimack,D,So,33,4,24,28,0.8485,30,51,0,1,1,-13,38,0,1,0,,,,,,
,Lucas Sowder,Minnesota State,F,Gr,33,13,15,28,0.8485,16,72,1,2,2,1,19,0,1,0,,,,,,
,Kyle Looft,Bemidji State,D,Gr,32,6,22,28,0.875,14,69,0,3,0,17,53,0,0,,,,,,,
,Mathieu Gosselin,Clarkson,F,Sr,31,11,17,28,0.9032,35,64,3,5,0,3,23,327,261,55.6,,,,,,
,Anton Rubtsov,Alaska,F,Jr,30,8,20,28,0.9333,14,63,2,2,0,6,4,0,0,,,,,,,
142,Boston Buckberger,Denver,D,Fr,44,5,22,27,0.6136,27,79,0,0,0,32,39,0,0,,,,,,,
,Griffin Ludtke,Omaha,D,So,40,4,23,27,0.675,27,41,1,1,0,1,29,0,1,0,,,,,,
,Shane Lachance,Boston University,F,Fr,40,13,14,27,0.675,12,94,2,4,0,15,14,117,71,62.2,,,,,,
,Tyler Ghirardosi,Holy Cross,F,Sr,39,14,13,27,0.6923,23,109,4,0,1,13,20,15,17,46.9,,,,,,
,Brody Lamb,Minnesota,F,So,39,12,15,27,0.6923,6,73,4,4,0,-1,25,33,36,47.8,,,,,,
,Mathieu De St. Phalle,Wisconsin,F,Sr,38,11,16,27,0.7105,8,103,1,5,0,4,18,1,4,20,,,,,,
,Red Savage,Michigan State,F,Jr,38,10,17,27,0.7105,12,94,1,1,0,9,16,355,378,48.4,,,,,,
,Harrison Scott,Maine,F,Sr,37,15,12,27,0.7297,18,102,4,4,1,6,22,396,312,55.9,,,,,,
,Austin Heidemann,RPI,F,Sr,37,11,16,27,0.7297,8,84,2,4,0,-12,17,1,0,100,,,,,,
,Liam Malmquist,St. Thomas,F,Jr,36,10,17,27,0.75,10,91,1,2,1,-7,7,39,63,38.2,,,,,,
,Simon Labelle,Colgate,F,So,36,7,20,27,0.75,17,66,2,1,0,-5,4,1,0,100,,,,,,
,Gunnarwolfe Fontaine,Northeastern,F,Sr,36,8,19,27,0.75,6,65,4,2,0,-2,20,5,5,50,,,,,,
,Josh Nixon,Union,F,Jr,36,9,18,27,0.75,33,70,1,1,0,-6,6,0,0,,,,,,,
,Boris Skalos,Mercyhurst,F,Fr,35,15,12,27,0.7714,10,110,3,2,0,2,16,0,6,0,,,,,,
,Brett Chorske,Colgate,F,Jr,35,7,20,27,0.7714,6,63,2,2,0,9,7,62,91,40.5,,,,,,
,Stephen Castagna,Bentley,F,So,35,6,21,27,0.7714,37,89,2,1,1,4,29,31,50,38.3,,,,,,
,Jacques Bouquot,Penn State,F,Gr,34,12,15,27,0.7941,22,79,1,6,0,-7,18,212,220,49.1,,,,,,
,Maximilion Helgeson,Alaska-Anchorage,F,Jr,33,14,13,27,0.8182,31,97,2,4,1,7,13,8,9,47.1,,,,,,
,Joe Miller,Harvard,F,So,32,13,14,27,0.8438,8,67,1,4,2,-5,17,10,33,23.3,,,,,,
,Ayrton Martino,Clarkson,F,Jr,31,9,18,27,0.871,8,69,3,2,0,-5,10,0,0,,,,,,,
162,Ty Mueller,Omaha,F,Jr,40,11,15,26,0.65,33,102,0,3,0,9,21,365,299,55,,,,,,
,Jack Randl,Omaha,F,Gr,39,13,13,26,0.6667,10,106,4,1,2,5,16,0,3,0,,,,,,
,Jayden Lee,Quinnipiac,D,Gr,39,3,23,26,0.6667,8,66,1,0,0,20,46,0,1,0,,,,,,
,Andon Cerbone,Quinnipiac,F,Fr,39,12,14,26,0.6667,23,90,3,3,0,20,10,41,26,61.2,,,,,,
,Cristophe Tellier,Quinnipiac,F,Jr,39,7,19,26,0.6667,12,70,1,2,0,11,23,0,1,0,,,,,,
,Gavin O'Connell,Michigan State,F,Fr,38,15,11,26,0.6842,12,74,4,6,0,8,13,1,2,33.3,,,,,,
,Davis Burnside,Ohio State,F,So,38,9,17,26,0.6842,24,97,4,2,0,-6,15,0,4,0,,,,,,
,Chad Hillebrand,Western Michigan,F,Sr,38,7,19,26,0.6842,44,72,1,0,2,21,10,3,3,50,,,,,,
,Eric Martin,Bemidji State,F,Sr,38,8,18,26,0.6842,6,77,0,1,0,-5,20,183,255,41.8,,,,,,
,Scooter Brickey,Ohio State,D,Gr,37,13,13,26,0.7027,32,92,3,6,0,-10,50,0,0,,,,,,,
,Nate Hanley,Union,F,So,37,4,22,26,0.7027,10,99,0,0,0,-7,17,205,216,48.7,,,,,,
,Evan Murr,Minnesota State,D,Fr,37,6,20,26,0.7027,14,79,1,3,0,8,31,0,2,0,,,,,,
,Tanner Klimpke,Robert Morris,F,Fr,37,15,11,26,0.7027,14,70,1,5,0,-7,22,3,4,42.9,,,,,,
,Ryan Ufko,Massachusetts,D,Jr,37,10,16,26,0.7027,14,93,6,6,0,4,55,0,0,,,,,,,
,Antonio Venuto,Ferris State,F,Sr,36,12,14,26,0.7222,44,88,2,5,0,0,22,7,20,25.9,,,,,,
,Ryan Kirwan,Penn State,F,Jr,36,13,13,26,0.7222,10,161,3,3,0,7,10,0,1,0,,,,,,
,Tommy Bergsland,Colgate,D,Jr,36,5,21,26,0.7222,16,50,0,1,0,-1,46,0,0,,,,,,,
,TJ Walsh,Sacred Heart,F,Gr,36,13,13,26,0.7222,6,71,4,3,0,-12,17,0,1,0,,,,,,
,Ryan O'Neill,St. Thomas,F,So,35,7,19,26,0.7429,12,71,0,3,0,-1,13,0,0,,,,,,,
,Matt DiMarsico,Penn State,F,Fr,35,7,19,26,0.7429,18,90,0,0,0,-12,6,0,0,,,,,,,
,John Jaworski,Sacred Heart,F,Sr,35,10,16,26,0.7429,14,86,1,4,0,-8,20,250,275,47.6,,,,,,
,Jay Ahearn,Niagara,F,Jr,34,10,16,26,0.7647,26,101,3,5,0,-6,13,0,0,,,,,,,
,Ryan McGuire,Colgate,F,Jr,34,14,12,26,0.7647,31,86,2,5,1,5,21,406,299,57.6,,,,,,
,Harrison Israels,Alaska,F,Jr,33,20,6,26,0.7879,14,99,2,8,3,10,21,355,254,58.3,,,,,,
186,Jared Wright,Denver,F,So,44,15,10,25,0.5682,8,73,5,2,0,5,21,0,1,0,,,,,,
,Jack Malone,Boston College,F,Gr,41,12,13,25,0.6098,12,73,3,3,0,7,27,233,251,48.1,,,,,,
,Felikss Gavars,St. Lawrence,F,So,39,13,12,25,0.641,14,109,1,3,0,-9,17,6,12,33.3,,,,,,
,Garrett Pyke,North Dakota,D,Sr,39,3,22,25,0.641,14,63,0,0,0,11,56,1,0,100,,,,,,
,Tom Willander,Boston University,D,Fr,38,4,21,25,0.6579,12,38,1,2,0,28,36,0,1,0,,,,,,
,Daniel Russell,Michigan State,F,So,38,13,12,25,0.6579,38,102,2,2,0,5,15,1,1,50,,,,,,
,Matthew Guerra,Holy Cross,F,Sr,38,8,17,25,0.6579,51,92,1,3,0,-4,28,298,274,52.1,,,,,,
,Dawson Tritt,Lake Superior,F,Jr,38,13,12,25,0.6579,14,80,3,8,0,-1,20,41,64,39,,,,,,
,Lucas Mercuri,Massachusetts,F,Jr,37,9,16,25,0.6757,29,58,3,3,0,1,29,299,327,47.8,,,,,,
,Kevin Lombardi,Sacred Heart,F,Gr,36,11,14,25,0.6944,19,102,1,3,0,-10,17,1,1,50,,,,,,
,Aydar Suniev,Massachusetts,F,Fr,36,12,13,25,0.6944,25,101,2,2,0,1,13,1,1,50,,,,,,
,Jonathan Castagna,Cornell,F,Fr,35,11,14,25,0.7143,25,60,3,0,0,20,15,220,183,54.6,,,,,,
,Ryan Naumovski,Augustana,F,Gr,34,8,17,25,0.7353,0,61,1,4,0,0,14,5,14,26.3,,,,,,
,Zach Urdahl,Omaha,F,Jr,34,13,12,25,0.7353,4,77,3,2,0,3,10,0,0,,,,,,,
,Max Itagaki,Army,F,So,34,6,19,25,0.7353,31,57,0,2,1,-13,13,0,1,0,,,,,,
,Sutter Muzzatti,RPI,F,So,33,10,15,25,0.7576,79,49,3,1,2,-15,20,208,265,44,,,,,,
,Jack Stockfish,Holy Cross,F,Fr,32,9,16,25,0.7813,10,70,2,5,0,2,17,250,251,49.9,,,,,,
,Matthew Barbolini,Miami,F,Sr,31,11,14,25,0.8065,40,78,0,4,0,-4,26,18,44,29,,,,,,
,Cooper Flinton,Dartmouth,F,So,30,15,10,25,0.8333,25,71,3,6,0,1,41,1,0,100,,,,,,
,Anthony Romano,Clarkson,F,Sr,27,10,15,25,0.9259,4,79,2,1,1,-3,20,84,100,45.7,,,,,,
206,Julius Janhonen,American Int'l,F,Sr,40,5,19,24,0.6,27,81,1,3,0,-2,19,295,279,51.4,,,,,,
,Davis Pennington,Quinnipiac,D,Sr,39,3,21,24,0.6154,14,94,0,0,0,23,17,1,0,100,,,,,,
,Charles-Alexis Legault,Quinnipiac,D,So,39,9,15,24,0.6154,53,70,1,0,0,36,24,0,0,,,,,,,
,Nash Nienhuis,Michigan State,D,Sr,38,9,15,24,0.6316,22,70,4,0,1,20,30,0,0,,,,,,,
,Timo Bakos,Lake Superior,F,Jr,38,9,15,24,0.6316,6,55,1,1,2,-3,31,80,96,45.5,,,,,,
,Harrison Roy,Lake Superior,F,Sr,38,8,16,24,0.6316,8,112,2,4,0,-17,9,247,282,46.7,,,,,,
,Zach Okabe,St. Cloud State,F,Gr,38,10,14,24,0.6316,21,87,1,3,0,-4,9,15,23,39.5,,,,,,
,Ryan Lautenbach,Massachusetts,F,Jr,37,10,14,24,0.6486,29,73,1,0,3,2,8,1,0,100,,,,,,
,Carter Jones,Bemidji State,F,Gr,37,6,18,24,0.6486,12,52,3,0,0,-1,24,1,2,33.3,,,,,,
,Christian Fitzgerald,Wisconsin,F,Jr,37,7,17,24,0.6486,16,88,3,2,0,8,19,240,289,45.4,,,,,,
,Ville Immonen,Union,F,Sr,36,8,16,24,0.6667,18,55,3,5,0,-6,12,315,257,55.1,,,,,,
,Donavan Villeneuve-Houle,Maine,F,Sr,36,9,15,24,0.6667,33,88,0,2,1,10,18,2,1,66.7,,,,,,
,Patrick Moynihan,Notre Dame,F,Fr,36,10,14,24,0.6667,12,81,2,2,0,7,21,0,0,,,,,,,
,Nick Poisson,Providence,F,Sr,35,9,15,24,0.6857,16,89,0,3,0,8,15,3,14,17.6,,,,,,
,Brandon Buhr,Union,F,So,35,11,13,24,0.6857,4,70,2,4,0,-12,16,17,13,56.7,,,,,,
