Name,Team,Pos.,Yr,GP,G,A,PTS,Pt/Gm,PIM,Shots,GWG,PPG,SHG,+/-,Blk,FW,FL,FO%,Season,Pos_Group,PtGm_pct,G_pct,A_pct,Shots_pct,PPG_pct,SHG_pct,+/-_pct,Blk_pct,FO_pct,Elite
Thomas Bordeleau,Michigan,F,So,37.0,12.0,25.0,37.0,1.0,35.0,88.0,3.0,2.0,1.0,18.0,15.0,353.0,275.0,56.2,2021-22,F,96.06505771248688,90.0314795383001,98.16369359916055,88.30010493179434,73.29485834207765,91.97271773347325,96.79958027282267,65.73976915005247,84.14634146341463,True
Josh Doan,Arizona State,F,Fr,35.0,12.0,25.0,37.0,1.0571,54.0,74.0,2.0,4.0,0.0,9.0,9.0,111.0,146.0,43.2,2021-22,F,97.16684155299056,90.0314795383001,98.16369359916055,81.21720881427072,89.24449108079749,43.12696747114376,88.61490031479539,39.664218258132216,36.39281129653401,True
Riese Gaber,North Dakota,F,So,34.0,15.0,22.0,37.0,1.0882,28.0,103.0,3.0,7.0,0.0,8.0,18.0,1.0,0.0,100.0,2021-22,F,97.58656873032528,95.17313746065058,96.27492130115425,94.59601259181531,98.53095487932843,43.12696747114376,86.6211962224554,78.43651626442812,98.01026957637997,True
Kent Johnson,Michigan,F,So,32.0,8.0,29.0,37.0,1.1563,6.0,74.0,4.0,4.0,1.0,25.0,6.0,1.0,6.0,14.3,2021-22,F,98.32109129066107,74.34417628541448,99.16054564533053,81.21720881427072,89.24449108079749,91.97271773347325,99.05561385099685,25.445960125918155,11.296534017971759,True
Ronnie Attard,Western Michigan,D,Jr,39.0,13.0,23.0,36.0,0.9231,24.0,133.0,1.0,6.0,0.0,20.0,50.0,0.0,1.0,0.0,2021-22,D,98.85057471264368,99.32950191570882,97.03065134099617,100.0,99.61685823754789,48.75478927203065,96.36015325670499,86.73076923076923,25.728155339805824,True
Massimo Rizzo,Denver,F,Fr,39.0,12.0,24.0,36.0,0.9231,48.0,101.0,3.0,4.0,0.0,18.0,14.0,228.0,205.0,52.7,2021-22,F,94.64847848898216,90.0314795383001,97.53410283315844,93.96642182581321,89.24449108079749,43.12696747114376,96.79958027282267,62.01469045120671,75.03209242618742,True
Andre Ghantous,Northern Michigan,F,Jr,37.0,10.0,26.0,36.0,0.973,57.0,55.0,0.0,0.0,0.0,4.0,30.0,1.0,2.0,33.3,2021-22,F,95.75026232948584,82.9485834207765,98.68835257082897,63.0115424973767,26.705141657922347,43.12696747114376,75.97061909758656,96.27492130115425,20.410783055198973,True
Kevin Fitzgerald,St. Cloud State,F,Sr,37.0,17.0,19.0,36.0,0.973,22.0,90.0,1.0,7.0,1.0,12.0,8.0,395.0,367.0,51.8,2021-22,F,95.75026232948584,97.27177334732424,93.96642182581321,89.24449108079749,98.53095487932843,91.97271773347325,93.07450157397692,34.67995802728227,71.7586649550706,True
Matthew Coronato,Harvard,F,Fr,34.0,18.0,18.0,36.0,1.0588,14.0,131.0,3.0,4.0,1.0,11.0,11.0,94.0,82.0,53.4,2021-22,F,97.27177334732424,97.74396642182582,92.9171038824764,98.63588667366213,89.24449108079749,91.97271773347325,91.86778593913955,49.422875131164744,76.6367137355584,True
Miroslav Mucha,Lake Superior,F,Sr,37.0,10.0,25.0,35.0,0.9459,8.0,63.0,1.0,4.0,1.0,5.0,18.0,1.0,5.0,16.7,2021-22,F,95.54039874081846,82.9485834207765,98.16369359916055,70.82896117523609,89.24449108079749,91.97271773347325,79.32843651626443,78.43651626442812,11.810012836970476,True
Nick Poisson,Providence,F,So,37.0,10.0,25.0,35.0,0.9459,22.0,107.0,2.0,6.0,0.0,8.0,10.0,29.0,30.0,49.2,2021-22,F,95.54039874081846,82.9485834207765,98.16369359916055,95.54039874081846,97.2193074501574,43.12696747114376,86.6211962224554,44.700944386149004,56.290115532734276,True
Wyatt Bongiovanni,Quinnipiac,F,Sr,42.0,16.0,18.0,34.0,0.8095,45.0,151.0,5.0,4.0,1.0,27.0,17.0,462.0,330.0,58.3,2021-22,F,90.7660020986359,96.48478488982161,92.9171038824764,99.58027282266528,89.24449108079749,91.97271773347325,99.31794333683106,73.9769150052466,87.03465982028241,True
Cameron Wright,Denver,F,Gr,41.0,23.0,11.0,34.0,0.8293,12.0,132.0,2.0,9.0,0.0,19.0,6.0,2.0,1.0,66.7,2021-22,F,91.97271773347325,99.63273871983212,75.1311647429171,98.79328436516265,99.42287513116474,43.12696747114376,97.42917103882476,25.445960125918155,92.6829268292683,True
Ryan Sandelin,Minnesota State,F,Jr,41.0,21.0,13.0,34.0,0.8293,28.0,103.0,3.0,3.0,0.0,32.0,11.0,0.0,1.0,0.0,2021-22,F,91.97271773347325,99.21301154249737,82.21406086044072,94.59601259181531,82.05666316894019,43.12696747114376,99.84260230849948,49.422875131164744,5.134788189987163,True
Blake Bennett,American Int'l,F,Jr,37.0,20.0,14.0,34.0,0.9189,20.0,97.0,1.0,8.0,0.0,10.0,12.0,0.0,0.0,,2021-22,F,94.54354669464848,98.74081846799581,85.25708289611752,92.49737670514165,99.05561385099685,43.12696747114376,90.45120671563484,53.46274921301154,,True
